Id,Name,Birthdate,Handedness,School,Draft,Year,Team,Age,Pos.,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
10008,김선빈,1989년 12월 18일,우투우타,화순초-화순중-화순고,08 KIA 2차 6라운드 43순위,2025,KIA,36,2B,84,2.74,-0.63,308,306,271,31,87,18,1,3,116,46,4,0,31,3,0,35,9,2,1,0.321,0.395,0.428,0.823,0.162,136.6,2.11
10014,안치홍,1990년 07월 02일,우투우타,구리-대치중-서울고,09 KIA 2차 1라운드 1순위,2025,한화,35,DH,66,-1.37,0.03,196,191,174,9,30,4,0,2,40,18,3,0,16,1,2,39,4,4,1,0.172,0.245,0.23,0.475,0.028,22.5,-1.34
10035,이용규,1985년 08월 26일,좌투좌타,성동초-잠신중-덕수정보고,04 LG 2차 2라운드 15순위,2025,키움,40,CF,14,-0.11,-0.11,41,40,37,7,8,1,0,0,9,0,1,0,3,0,0,8,1,1,0,0.216,0.275,0.243,0.518,0.048,43.8,-0.22
10082,이재원,1988년 02월 24일,우투우타,숭의초-상인천중-인천고,06 SK 1차,2025,한화,37,C,98,-0.05,0.27,151,143,125,4,25,2,1,1,32,12,1,1,14,1,0,23,3,8,3,0.2,0.28,0.256,0.536,0.058,48.5,0.23
10106,최정,1987년 02월 28일,우투우타,대일초-평촌중-유신고,05 SK 1차,2025,SSG,38,DH,95,1.91,-0.5,406,402,340,54,83,12,0,23,164,63,1,0,51,12,6,94,10,0,3,0.244,0.36,0.482,0.842,0.157,126.5,1.41
10165,양의지,1987년 06월 05일,우투우타,송정동초-무등중-진흥고,06 두산 2차 8라운드 59순위,2025,두산,38,C,130,6.6,0.2,517,514,454,56,153,27,1,20,242,89,4,2,50,7,6,63,10,0,6,0.337,0.406,0.533,0.939,0.189,162.8,6.79
10170,최재훈,1989년 08월 27일,우투우타,화곡초-덕수중-덕수고-방송통신대,08 두산 육성선수,2025,한화,36,C,121,3.45,-0.22,348,338,269,28,77,15,0,1,95,35,1,1,46,17,0,48,4,10,6,0.286,0.414,0.353,0.767,0.156,129.7,3.23
10180,이원석,1986년 10월 21일,우투우타,광주학강초-광주동성중-광주동성고,05 롯데 2차 2라운드 9순위,2025,키움,39,DH,5,-0.09,0,8,8,7,1,1,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0.143,0.25,0.143,0.393,0.018,16.4,-0.09
10182,최주환,1988년 02월 28일,우투좌타,광주학강초-광주동성중-광주동성고,06 두산 2차 6라운드 46순위,2025,키움,37,1B,120,1.03,-0.47,506,504,459,45,126,31,1,12,195,74,0,0,36,5,2,66,8,0,6,0.275,0.33,0.425,0.755,0.124,111.4,0.56
10184,허경민,1990년 08월 26일,우투우타,송정동초-충장중-광주제일고,09 두산 2차 1라운드 7순위,2025,KT,35,3B,114,1.69,-0.01,481,478,420,47,119,18,0,4,149,44,4,1,39,15,1,35,14,3,4,0.283,0.362,0.355,0.717,0.123,99.4,1.68
10187,김현수,1988년 01월 12일,우투좌타,쌍문초-신일중-신일고,06 두산 육성선수,2025,LG,37,LF,140,3.61,-0.24,552,552,483,66,144,24,0,12,204,90,4,0,64,4,1,73,10,0,1,0.298,0.384,0.422,0.806,0.156,133.1,3.36
10189,박건우,1990년 09월 08일,우투우타,역삼초-서울이수중-서울고,09 두산 2차 2라운드 10순위,2025,NC,35,RF,124,2.19,-0.33,442,440,384,43,111,24,1,9,164,67,6,4,47,5,2,63,6,1,5,0.289,0.37,0.427,0.797,0.147,119.4,1.85
10195,정수빈,1990년 10월 07일,좌투좌타,신곡초-수원북중-유신고,09 두산 2차 5라운드 39순위,2025,두산,35,CF,132,2.32,0.51,546,537,462,89,119,16,4,6,161,38,26,13,61,11,2,57,7,8,4,0.258,0.355,0.348,0.703,0.122,104.8,2.83
10232,강민호,1985년 08월 18일,우투우타,제주신광초-포철중-포철공고-국제디지털대,04 롯데 2차 3라운드 17순위,2025,삼성,40,C,127,2.33,0.26,465,461,412,37,111,23,1,12,172,71,2,2,38,7,4,69,16,1,7,0.269,0.336,0.417,0.753,0.124,96.4,2.59
10235,장성우,1990년 01월 17일,우투우타,감천초-경남중-경남고-영남사이버대,08 롯데 1차,2025,KT,35,C,129,2.24,0.03,480,477,413,44,102,13,0,14,157,58,0,1,55,2,1,96,13,2,8,0.247,0.333,0.38,0.713,0.118,96.1,2.27
10238,김민성,1988년 12월 17일,우투우타,고명초-잠신중-덕수정보고-영남사이버대,07 롯데 2차 2라운드 13순위,2025,롯데,37,3B,96,0.75,-0.59,254,252,214,25,52,13,0,3,74,35,0,1,33,4,1,48,7,2,1,0.243,0.353,0.346,0.699,0.122,96,0.15
10249,오태곤,1991년 11월 18일,우투우타,쌍문초-신월중-청원고,10 롯데 3라운드 22순위,2025,SSG,34,1B,122,-0.26,-0.1,229,226,194,31,39,6,0,5,60,26,25,8,30,1,0,59,4,3,1,0.201,0.31,0.309,0.619,0.093,74.8,-0.36
10253,정훈,1987년 07월 18일,우투우타,양덕초-마산동중-용마고,06 현대 육성선수,2025,롯데,38,DH,77,-0.97,0.31,200,198,185,14,40,11,0,2,57,11,0,0,10,3,1,40,4,2,0,0.216,0.268,0.308,0.576,0.059,47,-0.65
10261,손아섭,1988년 03월 18일,우투좌타,양정초-개성중-부산고,07 롯데 2차 4라운드 29순위,2025,NC,37,DH,76,0.76,0.45,267,263,240,21,72,13,3,0,91,33,0,3,24,0,2,33,1,2,1,0.3,0.362,0.379,0.741,0.128,104.4,1.21
10261,손아섭,1988년 03월 18일,우투좌타,양정초-개성중-부산고,07 롯데 2차 4라운드 29순위,2025,한화,37,DH,35,0,-0.05,149,147,132,18,35,9,0,1,47,17,0,1,13,1,0,26,2,2,1,0.265,0.333,0.356,0.689,0.11,91,-0.05
10266,전준우,1986년 02월 25일,우투우타,흥무초-경주중-경주고-건국대,08 롯데 2차 2라운드 15순위,2025,롯데,39,DH,114,1.84,-0.45,472,469,410,50,120,26,1,8,172,70,2,1,44,9,2,71,9,3,6,0.293,0.369,0.42,0.789,0.144,115.1,1.39
10312,이지영,1986년 02월 27일,우투우타,서화초-신흥중-제물포고-경성대,08 삼성 육성선수,2025,SSG,39,C,76,0.07,-0.13,216,212,197,13,47,6,1,3,64,18,2,1,11,2,0,22,8,4,2,0.239,0.283,0.325,0.608,0.073,58.6,-0.06
10320,김상수,1990년 03월 23일,우투우타,옥산초-경복중-경북고-대구사이버대,09 삼성 1차,2025,KT,35,2B,113,1.64,-0.46,423,417,355,42,90,14,0,5,119,47,3,1,52,4,1,57,8,5,7,0.254,0.349,0.335,0.684,0.115,93.3,1.17
10344,최형우,1983년 12월 16일,우투좌타,진북초-전주동중-전주고,02 삼성 2차 6라운드 48순위,2025,KIA,42,DH,133,4.37,-0.01,549,545,469,74,144,30,1,24,248,86,1,0,67,8,8,98,9,0,5,0.307,0.399,0.529,0.928,0.186,157.6,4.37
10387,박동원,1990년 04월 07일,우투우타,양정초-개성중-개성고,09 히어로즈 2차 3라운드 19순위,2025,LG,35,C,139,4.8,0.32,523,518,451,57,114,25,0,22,205,76,4,0,62,2,4,124,10,3,5,0.253,0.342,0.455,0.797,0.142,121,5.12
10407,황재균,1987년 07월 28일,우투우타,사당초-서울이수중-경기고-영남사이버대,06 현대 2차 3라운드 24순위,2025,KT,38,1B,112,1.08,-0.61,424,422,385,50,106,19,0,7,146,48,3,1,34,2,1,84,2,1,2,0.275,0.336,0.379,0.715,0.116,95.2,0.48
10459,김태군,1989년 12월 30일,우투우타,양정초-대동중-부산고-방송통신대,08 LG 2차 3라운드 17순위,2025,KIA,36,C,100,1.24,0.53,274,266,236,20,61,10,1,5,88,31,0,0,17,10,1,20,9,8,3,0.258,0.331,0.373,0.704,0.111,92.3,1.77
10470,박병호,1986년 07월 10일,우투우타,영일초-광명-영남중-성남고,05 LG 1차,2025,삼성,39,DH,77,0.16,0.2,232,232,196,26,39,5,0,15,89,33,0,0,27,7,0,70,5,0,2,0.199,0.315,0.454,0.769,0.134,102.9,0.36
10475,오지환,1990년 03월 12일,우투좌타,군산초-자양중-경기고,09 LG 1차,2025,LG,35,SS,127,2.65,0.24,472,465,419,57,106,24,1,16,180,62,9,7,37,3,0,115,4,7,6,0.253,0.314,0.43,0.744,0.12,101.9,2.89
10557,오선진,1989년 07월 07일,우투우타,화곡초-성남중-성남고,08 한화 2차 4라운드 26순위,2025,키움,36,SS,99,0.19,-0.13,163,159,143,15,34,8,0,1,45,19,0,0,12,3,0,45,2,4,1,0.238,0.308,0.315,0.623,0.086,77.4,0.06
10636,김성현,1987년 03월 09일,우투우타,송정동초-충장중-광주제일고,06 SK 2차 3라운드 20순위,2025,SSG,38,3B,59,0.09,-0.15,137,133,115,15,25,3,0,1,31,11,1,1,16,1,0,20,4,4,1,0.217,0.316,0.27,0.586,0.083,66.2,-0.05
10640,김헌곤,1988년 11월 09일,우투우타,회원초-경복중-제주고-영남대,11 삼성 5라운드 36순위,2025,삼성,37,RF,77,-0.6,-0.38,191,189,173,21,39,6,0,2,51,11,2,1,11,4,0,29,4,2,1,0.225,0.286,0.295,0.581,0.067,51.9,-0.98
10643,김재환,1988년 09월 22일,우투좌타,영랑초-상인천중-인천고,08 두산 2차 1라운드 4순위,2025,두산,37,DH,103,1.51,0.4,407,405,344,42,83,13,2,13,139,50,7,2,57,4,3,96,4,0,2,0.241,0.354,0.404,0.758,0.138,118.1,1.91
10659,고종욱,1989년 01월 11일,우투좌타,역삼초-대치중-경기고-한양대,11 넥센 3라운드 19순위,2025,KIA,36,LF,46,-0.03,0.22,123,122,115,13,34,2,0,3,45,16,2,1,5,0,1,17,2,0,3,0.296,0.317,0.391,0.708,0.1,83.9,0.18
10753,유강남,1992년 07월 15일,우투우타,청원초-휘문중-서울고,11 LG 7라운드 50순위,2025,롯데,33,C,110,1.9,0.18,350,347,303,35,83,18,0,5,116,38,0,0,26,13,0,66,11,3,5,0.274,0.352,0.383,0.735,0.126,101.4,2.09
10804,박승욱,1992년 12월 04일,우투좌타,칠성초-경복중-상원고,12 SK 3라운드 31순위,2025,롯데,33,SS,54,-0.35,0.04,92,90,84,10,16,3,0,0,19,5,1,1,5,1,0,30,0,2,0,0.19,0.244,0.226,0.47,0.027,22.3,-0.31
10810,최항,1994년 01월 03일,우투좌타,대일초-매송중-유신고,12 SK 8라운드 70순위,2025,롯데,31,1B,8,-0.02,0.04,7,7,6,1,1,0,0,0,1,1,0,0,1,0,0,4,0,0,0,0.167,0.286,0.167,0.453,0.045,35,0.02
10815,한유섬,1989년 08월 09일,우투좌타,중앙초-해운대-대천중-경남고-경성대,12 SK 9라운드 85순위,2025,SSG,36,RF,128,1.9,-0.08,511,507,455,50,124,24,0,15,193,71,1,0,46,7,3,120,6,1,2,0.273,0.347,0.424,0.771,0.134,108.4,1.82
10835,김준태,1994년 07월 31일,우투좌타,양정초-개성중-경남고-영남사이버대,12 롯데 육성선수,2025,LG,31,DH,2,0.1,0,2,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,2,0.582,486.7,0.1
10855,서건창,1989년 08월 22일,우투좌타,송정초-충장중-광주제일고,08 LG 신고선수,2025,KIA,36,2B,10,-0.1,0.09,26,24,22,1,3,1,0,1,7,2,1,0,2,0,0,5,1,2,0,0.136,0.208,0.318,0.526,0.041,34.6,-0.01
10870,김재현,1993년 03월 18일,우투우타,진북초-전라중-대전고,12 넥센 8라운드 76순위,2025,키움,32,C,62,-0.32,-0.24,128,124,120,12,25,5,0,0,30,5,1,0,1,3,0,31,1,4,0,0.208,0.234,0.25,0.484,0.022,19.5,-0.56
10891,박세혁,1990년 01월 09일,우투좌타,수유초-신일중-신일고-고려대,12 두산 5라운드 47순위,2025,NC,35,C,48,-0.32,-0.34,93,93,86,8,14,3,0,2,23,10,1,0,5,1,0,28,4,0,1,0.163,0.215,0.267,0.482,0.024,19.5,-0.66
10892,구자욱,1993년 02월 12일,우투좌타,본리초-경복중-대구고,12 삼성 2라운드 12순위,2025,삼성,32,LF,142,5.11,-0.63,616,611,529,106,169,43,2,19,273,96,4,1,73,5,7,91,9,1,8,0.319,0.402,0.516,0.918,0.185,143.6,4.48
10894,류지혁,1994년 01월 13일,우투좌타,청원초-선린중-충암고,12 두산 4라운드 36순위,2025,삼성,31,2B,129,1.12,0.39,464,450,400,54,112,14,0,1,129,37,11,6,33,13,0,73,11,14,4,0.28,0.351,0.323,0.674,0.108,84.1,1.51
10913,하주석,1994년 02월 25일,우투좌타,강남초-덕수중-신일고,12 한화 1라운드 1순위,2025,한화,31,SS,95,1.38,0.71,305,294,276,34,82,14,0,4,108,28,2,1,12,5,0,66,10,11,1,0.297,0.337,0.391,0.728,0.116,96.8,2.08
11087,강승호,1994년 02월 09일,우투우타,순천북초-천안북중-북일고,13 LG 1라운드 3순위,2025,두산,31,1B,115,0.65,0.9,400,396,360,51,85,19,3,8,134,37,14,3,24,11,2,113,7,2,3,0.236,0.302,0.372,0.674,0.096,82.3,1.55
11097,장승현,1994년 03월 07일,우투우타,서림초-동산중-제물포고,13 두산 4라운드 36순위,2025,두산,31,C,4,-0.06,-0.01,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.17,-132.8,-0.07
11098,김인태,1994년 07월 03일,좌투좌타,포철서초-천안북중-북일고,13 두산 1라운드 4순위,2025,두산,31,LF,106,0.79,0.02,225,225,183,17,39,10,1,3,60,25,0,1,36,5,0,57,2,0,1,0.213,0.356,0.328,0.684,0.126,107.2,0.8
11099,이우성,1994년 07월 17일,우투우타,대전유천초-한밭중-대전고,13 두산 2라운드 15순위,2025,KIA,31,LF,56,-0.05,-0.47,176,176,155,11,34,10,1,2,52,15,0,0,18,2,0,37,4,0,1,0.219,0.307,0.335,0.642,0.095,80.2,-0.52
11099,이우성,1994년 07월 17일,우투우타,대전유천초-한밭중-대전고,13 두산 2라운드 15순위,2025,NC,31,LF,49,0.27,-0.1,161,160,145,17,41,12,0,1,56,18,2,1,13,0,0,29,4,1,2,0.283,0.338,0.386,0.724,0.119,95.3,0.17
11119,한승택,1994년 06월 21일,우투우타,남양주-잠신중-덕수고,13 한화 3라운드 23순위,2025,KIA,31,C,15,0.02,0.06,23,23,21,3,5,1,0,0,6,0,0,0,1,1,0,7,1,0,0,0.238,0.304,0.286,0.59,0.073,63,0.08
11137,박민우,1993년 02월 06일,우투좌타,마포초-용산-선린중-휘문고,12 NC 1라운드 9순위,2025,NC,32,2B,117,3.72,0.66,468,461,404,64,122,25,8,3,172,67,28,8,44,12,5,64,5,4,4,0.302,0.384,0.426,0.81,0.152,123.3,4.38
11148,강진성,1993년 10월 19일,우투우타,가동초-잠신중-경기고,12 NC 4라운드 33순위,2025,키움,32,1B,6,-0.1,-0.06,13,13,11,1,2,0,0,0,2,1,0,0,2,0,0,1,2,0,0,0.182,0.308,0.182,0.49,0.062,60.5,-0.16
11153,김성욱,1993년 05월 01일,우투우타,서림초-충장중-진흥고,12 NC 3라운드 32순위,2025,NC,32,RF,9,-0.27,-0.2,13,13,13,0,1,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0.077,0.077,0.077,0.154,-0.11,-84.3,-0.47
11153,김성욱,1993년 05월 01일,우투우타,서림초-충장중-진흥고,12 NC 3라운드 32순위,2025,SSG,32,RF,47,-0.32,0.07,119,118,110,10,23,6,0,2,35,13,1,1,7,1,0,29,2,1,0,0.209,0.263,0.318,0.581,0.063,51.9,-0.26
11162,나성범,1989년 10월 03일,좌투좌타,대성초-진흥중-진흥고-연세대,12 NC 2라운드 10순위,2025,KIA,36,RF,82,2.23,-0.32,310,309,261,30,70,16,0,10,116,36,0,0,42,6,1,79,6,0,1,0.268,0.381,0.444,0.825,0.163,136.6,1.91
11165,노진혁,1989년 07월 15일,우투좌타,대성초-광주동성중-광주동성고-성균관대,12 NC 특별 20순위,2025,롯데,36,DH,28,0.23,-0.39,69,69,63,11,17,1,2,1,25,5,0,0,5,1,0,20,0,0,0,0.27,0.333,0.397,0.73,0.123,98.6,-0.16
11172,권희동,1990년 12월 30일,우투우타,동천초-경주중-경주고-경남대,13 NC 9라운드 84순위,2025,NC,35,LF,136,2.62,0.13,456,448,358,56,88,24,0,6,130,39,5,5,77,11,0,80,10,8,2,0.246,0.393,0.363,0.756,0.154,124.8,2.76
11190,박해민,1990년 02월 24일,우투좌타,영중초-양천중-신일고-한양대,12 삼성 육성선수,2025,LG,35,CF,144,3.36,1.19,544,522,442,80,122,18,2,3,153,43,49,14,68,8,0,94,7,22,4,0.276,0.379,0.346,0.725,0.136,115.7,4.55
11198,박계범,1996년 01월 11일,우투우타,순천북초-서울이수중-효천고-대구사이버대,14 삼성 2차 2라운드 17순위,2025,두산,29,2B,94,0.46,-0.53,198,191,175,23,46,9,2,1,62,27,3,1,14,1,0,45,4,7,1,0.263,0.319,0.354,0.673,0.102,88.1,-0.07
11212,배정대,1995년 06월 12일,우투우타,도신초-디지털문예대-성남중-성남고,14 LG 2차 1라운드 3순위,2025,KT,30,CF,99,-0.57,0.54,276,269,240,25,49,11,2,2,70,28,6,3,19,7,0,65,4,7,3,0.204,0.279,0.292,0.571,0.066,52.8,-0.03
11213,양석환,1991년 07월 15일,우투우타,백운초-신일중-신일고-동국대,14 LG 2차 3라운드 28순위,2025,두산,34,1B,72,0.68,0.56,294,293,262,32,65,16,0,8,105,31,1,0,24,5,1,82,6,0,3,0.248,0.32,0.401,0.721,0.115,98.5,1.24
11214,장준원,1995년 11월 21일,우투우타,경운초-김해엔젤스-개성중-경남고,14 LG 2차 2라운드 23순위,2025,KT,30,SS,73,-0.64,0.67,154,149,140,10,29,3,0,1,35,11,0,0,8,0,0,27,5,5,1,0.207,0.248,0.25,0.498,0.034,27.5,0.03
11215,채은성,1990년 02월 06일,우투우타,순천북초-순천이수중-효천고,09 LG 육성선수,2025,한화,35,1B,132,1.95,-0.57,527,520,480,54,138,27,1,19,224,88,1,2,31,13,5,96,4,3,0,0.288,0.347,0.467,0.814,0.143,118.4,1.37
11225,임지열,1995년 08월 22일,우투우타,신흥초-건대부중-덕수고,14 넥센 2차 2라운드 22순위,2025,키움,30,LF,102,0.71,0.33,417,416,369,51,90,14,2,11,141,50,13,6,42,2,0,111,11,1,3,0.244,0.322,0.382,0.704,0.114,102.4,1.04
11226,임병욱,1995년 09월 30일,우투좌타,신곡초-배명중-덕수고,14 넥센 1차,2025,키움,30,RF,52,-0.25,-0.41,140,139,133,12,31,4,3,2,47,13,1,0,5,0,0,33,3,1,1,0.233,0.259,0.353,0.612,0.068,61.8,-0.66
11233,이창진,1991년 03월 04일,우투우타,신도초-동인천중-인천고-건국대,14 롯데 2차 6라운드 60순위,2025,KIA,34,LF,37,-0.37,0.27,113,112,93,11,15,3,0,1,21,9,0,2,16,2,0,22,2,1,1,0.161,0.295,0.226,0.521,0.067,56.9,-0.1
11244,김태진,1995년 10월 07일,우투좌타,수유초-신일중-신일고,14 NC 2차 4라운드 45순위,2025,키움,30,2B,94,0.06,-0.53,304,302,279,27,65,11,2,5,95,25,1,1,20,0,1,53,6,2,3,0.233,0.281,0.341,0.622,0.077,67.8,-0.47
11261,박찬호,1995년 06월 05일,우투우타,신답초-건대부중-장충고,14 KIA 2차 5라운드 50순위,2025,KIA,30,SS,134,4.25,0.3,595,587,516,75,148,18,2,5,185,42,27,6,62,3,0,69,7,8,6,0.287,0.363,0.359,0.722,0.127,107.3,4.56
11298,김호령,1992년 04월 30일,우투우타,안산관산초-안산중앙중-군산상고-동국대,15 KIA 2차 10라운드 102순위,2025,KIA,33,CF,105,2.57,0.24,381,373,332,46,94,26,3,6,144,39,12,1,34,6,0,94,4,8,1,0.283,0.359,0.434,0.793,0.146,123.2,2.82
11306,황대인,1996년 02월 10일,우투우타,군산신풍초-자양중-경기고,15 KIA 2차 1라운드 2순위,2025,KIA,29,1B,18,-0.35,0.19,57,57,53,3,10,3,0,1,16,8,0,0,3,0,0,14,0,0,1,0.189,0.228,0.302,0.53,0.039,32.6,-0.16
11329,안중열,1995년 09월 01일,우투우타,가야초-개성중-부산고,14 KT 2차 특별 15순위,2025,NC,30,C,33,0.01,-0.4,60,59,49,2,7,3,0,0,10,6,0,0,8,2,0,15,0,1,0,0.143,0.288,0.204,0.492,0.059,47.5,-0.39
